Brand,Model,Type,Gender,Size,Color,Material,Price
5,17,0,0,0,61,10,170.0
0,212,10,0,12,1,20,180.0
7,49,1,0,2,67,10,75.0
2,48,1,1,9,52,0,55.0
6,105,7,1,8,56,14,80.0
9,168,11,0,10,10,23,65.0
4,7,10,1,6,39,25,175.0
1,121,10,0,1,13,14,160.0
3,68,5,1,11,67,13,65.0
8,142,10,0,11,1,14,110.0
5,19,10,1,7,56,14,150.0
0,198,1,0,11,71,10,80.0
7,52,1,1,10,56,10,70.0
2,169,11,0,0,1,22,75.0
6,173,7,0,12,79,13,110.0
9,33,11,1,5,67,0,50.0
4,88,10,0,3,13,14,150.0
1,127,10,1,9,59,14,150.0
3,184,5,0,0,1,28,70.0
8,31,16,1,8,39,14,70.0
5,14,1,0,0,67,10,90.0
0,161,10,1,10,8,20,140.0
7,232,10,0,2,67,14,120.0
2,150,1,1,8,52,0,65.0
6,43,10,0,12,1,14,80.0
9,193,11,1,9,10,23,70.0
4,2,7,0,0,16,25,90.0
1,129,10,1,11,39,17,120.0
3,159,5,0,10,67,13,75.0
8,62,16,1,7,1,28,65.0
5,18,10,0,11,39,14,150.0
0,12,10,1,8,13,14,170.0
7,163,2,0,0,1,17,130.0
2,45,1,1,11,56,0,85.0
6,106,7,0,11,9,28,90.0
9,194,11,1,7,26,0,50.0
4,3,1,0,11,6,27,80.0
1,120,10,1,10,59,17,160.0
3,224,5,0,12,76,13,65.0
8,144,16,1,8,1,14,60.0
5,14,1,0,2,67,10,90.0
0,161,10,1,11,1,8,140.0
7,232,10,0,12,67,14,120.0
2,150,1,0,0,67,0,65.0
6,200,1,1,10,0,22,65.0
9,193,11,0,9,10,23,70.0
4,2,1,1,8,55,25,100.0
1,121,10,1,7,67,14,160.0
3,170,1,0,2,73,10,70.0
8,144,16,1,9,1,14,60.0
5,85,10,0,0,39,14,100.0
0,9,12,1,5,1,28,35.0
7,163,4,0,1,1,14,130.0
2,45,1,1,8,56,0,85.0
6,58,0,0,12,9,10,130.0
9,78,11,1,6,67,0,55.0
4,94,10,0,4,6,14,165.0
1,113,10,1,7,13,14,120.0
3,159,1,0,12,69,13,75.0
8,71,15,1,11,1,14,50.0
5,14,0,0,2,67,10,90.0
0,161,7,1,7,56,20,130.0
7,165,15,0,11,1,8,130.0
2,45,1,1,10,79,0,85.0
6,59,0,0,0,60,10,130.0
9,193,11,1,7,1,22,70.0
4,88,10,1,9,35,14,150.0
1,132,10,0,2,13,14,170.0
3,64,1,1,10,67,10,65.0
8,155,10,0,10,1,14,90.0
5,20,7,1,5,39,10,120.0
0,227,7,0,0,1,20,220.0
7,51,1,1,8,56,18,65.0
2,150,1,0,11,67,0,65.0
6,43,10,1,11,39,14,120.0
9,78,11,0,12,60,0,50.0
4,98,10,1,7,56,14,100.0
1,114,10,0,1,1,14,120.0
3,170,1,1,7,67,10,60.0
8,72,16,0,0,52,14,65.0
5,37,7,1,8,67,10,85.0
5,14,0,0,0,67,10,90.0
0,161,7,0,10,1,20,140.0
7,165,15,1,8,39,3,130.0
2,150,1,0,11,67,0,65.0
6,59,0,0,2,62,10,120.0
9,192,11,1,5,1,23,70.0
4,3,1,0,0,52,25,80.0
1,126,1,1,9,56,14,100.0
3,159,5,0,12,67,13,75.0
8,155,10,1,7,1,14,75.0
5,189,10,0,12,13,7,160.0
0,148,0,0,4,39,28,80.0
7,51,1,1,8,1,18,65.0
2,45,1,0,9,79,0,85.0
6,43,10,0,1,12,14,80.0
9,78,11,1,7,35,0,55.0
4,100,10,1,6,59,14,100.0
1,122,10,0,2,1,14,170.0
3,210,5,1,9,75,10,65.0
8,204,16,0,11,39,14,60.0
5,24,10,1,10,67,14,200.0
5,187,10,1,8,39,14,160.0
0,206,1,0,10,10,10,80.0
7,231,10,1,6,13,14,120.0
2,45,1,0,11,67,0,85.0
6,40,7,1,12,67,10,90.0
9,193,11,0,0,10,23,70.0
4,7,10,0,12,39,25,175.0
1,137,13,1,10,13,14,70.0
3,159,5,0,2,67,28,75.0
8,139,10,1,7,1,14,60.0
5,23,10,0,2,1,14,120.0
0,217,10,1,10,39,20,180.0
7,50,1,0,12,67,10,80.0
2,150,1,1,5,52,0,65.0
6,174,7,0,12,9,28,110.0
9,78,11,1,8,10,0,50.0
4,96,10,0,0,60,14,80.0
1,113,10,1,11,1,14,120.0
3,170,5,0,0,67,10,60.0
8,156,16,1,9,52,14,80.0
5,15,0,0,2,67,10,90.0
0,161,10,1,9,56,20,140.0
7,163,15,0,12,10,14,130.0
2,150,1,1,8,67,0,65.0
6,43,10,0,0,6,17,90.0
9,193,11,1,11,10,0,65.0
4,104,10,0,12,19,14,130.0
1,124,10,1,8,72,15,180.0
3,196,5,0,9,73,13,65.0
8,144,16,1,6,1,14,60.0
5,237,10,0,2,1,17,180.0
0,219,10,1,9,39,20,180.0
